article,channel,post_date,post_url,impressions,clicks,ctr
getting-started-with-puppyone,blog,2025-03-15,/blog/getting-started,8923,1247,0.140
getting-started-with-puppyone,twitter,2025-03-15,twitter.com/puppyone/status/123,15600,312,0.020
getting-started-with-puppyone,linkedin,2025-03-15,linkedin.com/feed/update/456,8400,420,0.050
getting-started-with-puppyone,newsletter,2025-03-16,mailchimp/campaign/789,4200,630,0.150
ai-agents-need-memory,blog,2025-03-01,/blog/ai-agents-memory,12340,2098,0.170
ai-agents-need-memory,twitter,2025-03-01,twitter.com/puppyone/status/111,42300,1269,0.030
ai-agents-need-memory,linkedin,2025-03-01,linkedin.com/feed/update/222,21000,1470,0.070
ai-agents-need-memory,hackernews,2025-03-02,news.ycombinator.com/item?id=333,89000,8010,0.090
ai-agents-need-memory,newsletter,2025-03-02,mailchimp/campaign/444,4200,756,0.180
version-control-for-ai-data,blog,2025-02-15,/blog/version-control-ai,9870,1579,0.160
version-control-for-ai-data,twitter,2025-02-15,twitter.com/puppyone/status/555,11200,224,0.020
version-control-for-ai-data,linkedin,2025-02-15,linkedin.com/feed/update/666,9800,588,0.060
version-control-for-ai-data,newsletter,2025-02-16,mailchimp/campaign/777,4100,615,0.150
